languageLabel,ISO,countryLabel,countryISO,Ethnologe_statusLabel,number_of_speaker,coordinates,HDI,population,country_coordinates
Ghotuo,aaa,Nigeria,NGA,6a Vigorous,9000,Point(5.75 7.083333333),0.532,190886311,Point(8.0 9.0)
Alumu,aab,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Ari,aac,Papua New Guinea,PNG,6b Threatened,50,,0.555,8935000,Point(147.0 -6.3)
Amal,aad,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Arbëresh,aae,Italy,ITA,6b Threatened,100000,,0.873,60317000,Point(12.5 42.5)
Aranadan,aaf,India,IND,6b Threatened,200,,0.64,1326093247,Point(83.0 22.8)
Ambrak,aag,Papua New Guinea,PNG,6b Threatened,290,,0.555,8935000,Point(147.0 -6.3)
Abu’ Arapesh,aah,Papua New Guinea,PNG,6b Threatened,2560,,0.555,8935000,Point(147.0 -6.3)
Arifama-Miniafia,aai,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Ankave,aak,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Afade,aal,Nigeria,NGA,6b Threatened,,Point(15.333333333 11.333333333),0.532,190886311,Point(8.0 9.0)
Afade,aal,Cameroon,CMR,6b Threatened,,Point(15.333333333 11.333333333),0.556,24053727,Point(12.0 7.0)
Anambé,aan,Brazil,BRA,8b Nearly Extinct,,,0.754,210147125,Point(-53.0 -14.0)
Saharan Arabic,aao,Algeria,DZA,6a Vigorous,,,0.754,41318142,Point(1.0 28.0)
Pará Arára,aap,Brazil,BRA,6a Vigorous,,,0.754,210147125,Point(-53.0 -14.0)
Eastern Abenaki,aaq,United States of America,USA,9 Dormant,,,0.92,331449281,Point(-98.5795 39.828175)
Afar,aar,Ethiopia,ETH,2 Provincial,1600000,Point(42.0 12.0),0.463,104957438,Point(40.0 9.0)
Afar,aar,Djibouti,DJI,2 Provincial,1600000,Point(42.0 12.0),0.476,956985,Point(42.433333 11.8)
Afar,aar,Eritrea,ERI,2 Provincial,1600000,Point(42.0 12.0),0.44,3497000,Point(38.25 15.483333)
Asa,aas,Tanzania,TZA,8b Nearly Extinct,,,0.538,57310019,Point(34.854 -6.307)
Arvanitic,aat,Greece,GRC,8a Moribund,,,0.865,10760421,Point(23.0 38.5)
Abau,aau,Papua New Guinea,PNG,5 Developing,7270,Point(141.25 -4.0),0.555,8935000,Point(147.0 -6.3)
Solong,aaw,Papua New Guinea,PNG,4 Educational,,,0.555,8935000,Point(147.0 -6.3)
Amarasi,aaz,Indonesia,IDN,5 Developing,,,0.694,270625568,Point(118.0 -2.0)
Abé,aba,Ivory Coast,CIV,5 Developing,,,0.492,24294750,Point(-6.0 8.0)
Bankon,abb,Cameroon,CMR,6b Threatened,,Point(9.583333333 4.416666666),0.556,24053727,Point(12.0 7.0)
Ambala,abc,Philippines,PHL,6b Threatened,,,0.699,100981437,Point(123.0 12.0)
Manide,abd,Philippines,PHL,6b Threatened,,,0.699,100981437,Point(123.0 12.0)
Western Abnaki,abe,Canada,CAN,8b Nearly Extinct,,Point(-72.25 44.0),0.926,37894799,Point(-109.0 56.0)
Abai Sungai,abf,Malaysia,MYS,7 Shifting,,,0.802,31624264,Point(108.0 3.0)
Abaga,abg,Papua New Guinea,PNG,6a Vigorous,5,,0.555,8935000,Point(147.0 -6.3)
Tajiki Arabic,abh,Tajikistan,TJK,6b Threatened,,,0.65,8921343,Point(71.366667 38.583333)
Tajiki Arabic,abh,Afghanistan,AFG,6b Threatened,,,0.498,36643815,Point(66.0 34.0)
Abidji,abi,Ivory Coast,CIV,5 Developing,51000,Point(-4.583333333 5.666666666),0.492,24294750,Point(-6.0 8.0)
Aka-Bea,abj,India,IND,10 Extinct,,Point(92.5 11.666666666),0.64,1326093247,Point(83.0 22.8)
Abkhaz,abk,Turkey,TUR,2 Provincial,190110,Point(41.0 43.083333333),0.82,83614362,Point(36.0 39.0)
Abkhaz,abk,Russia,RUS,2 Provincial,190110,Point(41.0 43.083333333),0.816,146804372,Point(94.25 66.416666666)
Abkhaz,abk,Georgia,GEO,2 Provincial,190110,Point(41.0 43.083333333),0.754,3717100,Point(43.733330555 42.016669444)
Abkhaz,abk,Iraq,IRQ,2 Provincial,190110,Point(41.0 43.083333333),0.685,38274618,Point(43.0 33.0)
Abkhaz,abk,Jordan,JOR,2 Provincial,190110,Point(41.0 43.083333333),0.748,10428241,Point(36.5 31.2)
Abkhaz,abk,Syria,SYR,2 Provincial,190110,Point(41.0 43.083333333),0.536,18499181,Point(38.583333 35.216667)
Abkhaz,abk,Republic of Abkhazia,,2 Provincial,190110,Point(41.0 43.083333333),,242000,Point(40.983330555 43.0)
Abkhaz,abk,Republic of Abkhazia,,2 Provincial,190110,Point(41.0 43.083333333),,242000,Point(41.0 43.15)
Lampung Nyo,abl,Indonesia,IDN,6a Vigorous,,,0.694,270625568,Point(118.0 -2.0)
Abanyom,abm,Nigeria,NGA,6a Vigorous,12500,,0.532,190886311,Point(8.0 9.0)
Abua,abn,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Abon,abo,Cameroon,CMR,6b Threatened,1000,,0.556,24053727,Point(12.0 7.0)
Abon,abo,Nigeria,NGA,6b Threatened,1000,,0.532,190886311,Point(8.0 9.0)
Abellen,abp,Philippines,PHL,6b Threatened,3000,,0.699,100981437,Point(123.0 12.0)
Abaza,abq,Turkey,TUR,5 Developing,48000,Point(42.0 44.0),0.82,83614362,Point(36.0 39.0)
Abaza,abq,Russia,RUS,5 Developing,48000,Point(42.0 44.0),0.816,146804372,Point(94.25 66.416666666)
Abaza,abq,Karachay-Cherkess Republic,,5 Developing,48000,Point(42.0 44.0),,465357,Point(41.783333333 43.916666666)
Bono,abr,Ghana,GHA,5 Developing,,,0.592,26908262,Point(-0.5 8.0)
Bono,abr,Ivory Coast,CIV,5 Developing,,,0.492,24294750,Point(-6.0 8.0)
Ambonese,abs,Indonesia,IDN,3 Wider Communication,,,0.694,270625568,Point(118.0 -2.0)
Abelam,abt,Papua New Guinea,PNG,5 Developing,,Point(143.0 -3.833333333),0.555,8935000,Point(147.0 -6.3)
Abure,abu,Ivory Coast,CIV,6a Vigorous,,,0.492,24294750,Point(-6.0 8.0)
Bahrani Arabic,abv,Bahrain,BHR,3 Wider Communication,,Point(50.5 26.0),0.824,1492584,Point(50.551111 26.0675)
Pal,abw,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Abaknon,abx,Philippines,PHL,4 Educational,21400,,0.699,100981437,Point(123.0 12.0)
Aneme Wake,aby,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
