ISO,WALS_ID,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status_X_L,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord
aah,aab,Arapesh (Abu),,PG,-3.45,142.95,Torricelli,Kombio-Arapesh,0,L,Papua New Guinea,PNG,6b Threatened,2560.0,0.555,8935000.0,Point(147.0 -6.3)
aiw,aar,Aari,Africa,ET,6.0,36.5833333333,Afro-Asiatic,South Omotic,0,L,Ethiopia,ETH,4 Educational,"[13300.0, 253000.0, 285000.0]",0.463,104957438.0,Point(40.0 9.0)
aau,aba,Abau,Papunesia,PG,-4.0,141.25,Sepik,Upper Sepik,0,L,Papua New Guinea,PNG,5 Developing,7270.0,0.555,8935000.0,Point(147.0 -6.3)
shu,abb,Arabic (Chadian),Africa,TD,13.8333333333,20.8333333333,Afro-Asiatic,Semitic,0,L,"['Niger', 'Nigeria', 'Sudan', 'Chad', 'Central African Republic', 'South Sudan', 'Cameroon']","['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",3 Wider Communication,1100000.0,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']"
shu,arn,Arabic (Borno Nigerian),Africa,NG,8.58333333333,12.4166666667,Afro-Asiatic,Semitic,0,L,"['Niger', 'Nigeria', 'Sudan', 'Chad', 'Central African Republic', 'South Sudan', 'Cameroon']","['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",3 Wider Communication,1100000.0,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']"
abi,abd,Abidji,Africa,CI,5.66666666667,-4.58333333333,Niger-Congo,Kwa,0,L,Ivory Coast,CIV,5 Developing,51000.0,0.492,24294750.0,Point(-6.0 8.0)
apc,abe,Arabic (Beirut),Eurasia,LB,33.9166666667,35.5,Afro-Asiatic,Semitic,0,L,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
apc,anl,Arabic (North Levantine Spoken),Eurasia,LB,33.75,36.0,Afro-Asiatic,Semitic,0,L,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
apc,arl,Arabic (Lebanese),Eurasia,LB,34.0,36.0,Afro-Asiatic,Semitic,0,L,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
apc,asy,Arabic (Syrian),Eurasia,SY,34.0,38.0,Afro-Asiatic,Semitic,0,L,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
abv,abh,Arabic (Bahrain),Eurasia,BH,26.0,50.5,Afro-Asiatic,Semitic,0,L,Bahrain,BHR,3 Wider Communication,,0.824,1492584.0,Point(50.551111 26.0675)
axb,abi,Abipón,South America,AR,-29.0,-61.0,Guaicuruan,South Guaicuruan,0,X,Argentina,ARG,,0.0,0.825,44938712.0,Point(-64.0 -34.0)
abk,abk,Abkhaz,Eurasia,GE,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,0,L,"['Turkey', 'Russia', 'Georgia', 'Iraq', 'Jordan', 'Syria', 'Republic of Abkhazia']","['TUR', 'RUS', 'GEO', 'IRQ', 'JOR', 'SYR']",2 Provincial,190110.0,"[0.82, 0.816, 0.754, 0.685, 0.748, 0.536]","[83614362.0, 146804372.0, 3717100.0, 38274618.0, 10428241.0, 18499181.0, 242000.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(43.733330555 42.016669444)', 'Point(43.0 33.0)', 'Point(36.5 31.2)', 'Point(38.583333 35.216667)', 'Point(40.983330555 43.0)', 'Point(41.0 43.15)']"
akz,abm,Alabama,North America,US,32.3333333333,-87.4166666667,Muskogean,Muskogean,0,L,United States of America,USA,6b Threatened,100.0,0.92,331449281.0,Point(-98.5795 39.828175)
ard,abn,Arabana,Australia,AU,-28.25,136.25,Pama-Nyungan,Central Pama-Nyungan,0,L,Australia,AUS,8b Nearly Extinct,,0.939,24511800.0,Point(137.0 -28.0)
arv,abo,Arbore,Africa,ET,5.0,36.75,Afro-Asiatic,Lowland East Cushitic,0,L,Ethiopia,ETH,6a Vigorous,7210.0,0.463,104957438.0,Point(40.0 9.0)
kgr,abu,Abun,Papunesia,ID,-0.5,132.5,West Papuan,North-Central Bird's Head,0,L,Indonesia,IDN,6b Threatened,3000.0,0.694,270625568.0,Point(118.0 -2.0)
abz,abv,Abui,Papunesia,ID,-8.25,124.666666667,Timor-Alor-Pantar,Greater Alor,0,L,Indonesia,IDN,6a Vigorous,,0.694,270625568.0,Point(118.0 -2.0)
abe,abw,Abenaki (Western),North America,CA US,44.0,-72.25,Algic,Algonquian,0,L,Canada,CAN,8b Nearly Extinct,,0.926,37894799.0,Point(-109.0 56.0)
abq,abz,Abaza,Eurasia,RU,44.0,42.0,Northwest Caucasian,Northwest Caucasian,0,L,"['Turkey', 'Russia', 'Karachay-Cherkess Republic']","['TUR', 'RUS']",5 Developing,48000.0,"[0.82, 0.816]","[83614362.0, 146804372.0, 465357.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(41.783333333 43.916666666)']"
ace,ace,Acehnese,Eurasia,ID,5.5,95.5,Austronesian,Malayo-Sumbawan,0,L,Indonesia,IDN,6b Threatened,3500032.0,0.694,270625568.0,Point(118.0 -2.0)
aca,acg,Achagua,South America,CO,4.41666666667,-72.25,Arawakan,Inland Northern Arawakan,0,L,Colombia,COL,6b Threatened,,0.747,49065615.0,Point(-74.0 4.0)
guq,ach,Aché,South America,PY,-25.25,-55.1666666667,Tupian,Tupi-Guaraní,0,L,Paraguay,PRY,5 Developing,,0.702,6811297.0,Point(-58.0 -23.5)
acr,aci,Achí,North America,GT,15.1666666667,-90.5,Mayan,Mayan,0,L,Guatemala,GTM,6b Threatened,,0.627,17263239.0,Point(-90.25 15.5)
ach,acl,Acholi,Africa,UG SS,3.0,32.6666666667,Eastern Sudanic,Nilotic,0,L,"['South Sudan', 'Uganda']","['SSD', 'UGA']",5 Developing,1200000.0,"[0.388, 0.516]","[12575714.0, 42862958.0]","['Point(30.0 7.0)', 'Point(32.39 1.28)']"
acv,acm,Achumawi,North America,US,41.5,-121.0,Hokan,Palaihnihan,0,L,United States of America,USA,8b Nearly Extinct,,0.92,331449281.0,Point(-98.5795 39.828175)
acn,acn,Achang,Eurasia,CN MM,25.0,98.5,Sino-Tibetan,Burmese-Lolo,0,L,"[""People's Republic of China"", 'Myanmar']","['CHN', 'MMR']",7 Shifting,,"[0.752, 0.578]","[1409517397.0, 1443497378.0, 53370609.0]","['Point(103.451944444 35.844722222)', 'Point(96.0 22.0)']"
kjq,aco,Acoma,North America,US,34.9166666667,-107.583333333,Keresan,Keresan,0,L,United States of America,USA,7 Shifting,,0.92,331449281.0,Point(-98.5795 39.828175)
acu,acu,Achuar,South America,PE,-2.66667,-76.0,Jivaroan,Jivaroan,0,L,"['Peru', 'Ecuador']","['PER', 'ECU']",5 Developing,,"[0.75, 0.746]","[29381884.0, 16624858.0]","['Point(-76.0 -9.4)', 'Point(-78.0 -1.0)']"
ads,ada,Adamorobe Sign Language,Africa,GH,5.83333333333,-0.166666666667,other,Sign Languages,1,L,Ghana,GHA,6a Vigorous,,0.592,26908262.0,Point(-0.5 8.0)
adn,adg,Adang,Papunesia,ID,-8.2,124.0,Timor-Alor-Pantar,Greater Alor,0,L,Indonesia,IDN,6b Threatened,3000.0,0.694,270625568.0,Point(118.0 -2.0)
adj,adi,Adioukrou,Africa,CI,5.41666666667,-4.58333333333,Niger-Congo,Kwa,0,L,Ivory Coast,CIV,5 Developing,,0.492,24294750.0,Point(-6.0 8.0)
ano,adk,Andoke,South America,CO,-0.666666666667,-72.0,,,0,L,Colombia,COL,8b Nearly Extinct,,0.747,49065615.0,Point(-74.0 4.0)
adt,adn,Adynyamathanha,Australia,AU,-30.5,139.5,Pama-Nyungan,Central Pama-Nyungan,0,L,Australia,AUS,8b Nearly Extinct,,0.939,24511800.0,Point(137.0 -28.0)
ady,adt,Adyghe (Temirgoy),Eurasia,RU,45.2166666667,39.7,Northwest Caucasian,Northwest Caucasian,0,L,"['Turkey', 'Russia', 'Jordan', 'Syria']","['TUR', 'RUS', 'JOR', 'SYR']",2 Provincial,"[117500.0, 575900.0]","[0.82, 0.816, 0.748, 0.536]","[83614362.0, 146804372.0, 10428241.0, 18499181.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(36.5 31.2)', 'Point(38.583333 35.216667)']"
